Games,Country,Gold,Silver,Bronze,Total,Percentage,Total athletes,Athletes without medals
2016 Summer,Romania,4,2,10,16,13.2%,121,105
2016 Summer,Spain,9,19,17,45,12.4%,363,318
2016 Summer,Italy,8,40,24,72,18.0%,399,327
2016 Summer,Azerbaijan,1,7,10,18,26.1%,69,51
2016 Summer,France,20,55,21,96,18.8%,512,416
2016 Summer,Algeria,0,2,0,2,2.7%,74,72
2016 Summer,Bahrain,1,1,0,2,6.1%,33,31
2016 Summer,Netherlands,9,25,13,47,14.3%,329,282
2016 Summer,Iraq,0,0,0,0,0.0%,20,20
2016 Summer,Ireland,0,3,0,3,3.2%,93,90
2016 Summer,USA,139,54,71,264,36.7%,719,455
2016 Summer,Egypt,0,0,3,3,2.2%,137,134
2016 Summer,Iran,3,1,4,8,11.9%,67,59
2016 Summer,Belgium,2,17,2,21,15.2%,138,117
2016 Summer,Cameroon,0,0,0,0,0.0%,22,22
2016 Summer,Kazakhstan,3,5,10,18,14.6%,123,105
2016 Summer,Brunei,0,0,0,0,0.0%,3,3
2016 Summer,Uzbekistan,4,2,7,13,16.3%,80,67
2016 Summer,Tajikistan,1,0,0,1,14.3%,7,6
2016 Summer,Russia,52,28,35,115,28.3%,406,291
2016 Summer,Canada,4,4,61,69,17.0%,405,336
2016 Summer,Germany,49,43,67,159,29.7%,536,377
2016 Summer,Mexico,0,3,2,5,3.6%,139,134
2016 Summer,Ethiopia,1,2,5,8,21.1%,38,30
2016 Summer,Sri Lanka,0,0,0,0,0.0%,10,10
2016 Summer,Armenia,1,3,0,4,11.8%,34,30
2016 Summer,Kenya,6,6,1,13,16.3%,80,67
2016 Summer,Nigeria,0,0,18,18,23.4%,77,59
2016 Summer,Brazil,36,8,6,50,8.6%,583,533
2016 Summer,Australia,23,34,25,82,15.8%,518,436
2016 Summer,Chile,0,0,0,0,0.0%,47,47
2016 Summer,Switzerland,6,3,2,11,7.2%,152,141
2016 Summer,Belarus,1,4,7,12,8.5%,142,130
2016 Summer,Guyana,0,0,0,0,0.0%,7,7
2016 Summer,Georgia,2,1,4,7,15.6%,45,38
2016 Summer,Portugal,0,0,1,1,0.9%,106,105
2016 Summer,Colombia,3,2,3,8,5.1%,157,149
2016 Summer,Djibouti,0,0,0,0,0.0%,8,8
2016 Summer,Jordan,1,0,0,1,12.5%,8,7
2016 Summer,Palestine,0,0,0,0,0.0%,6,6
2016 Summer,Saudi Arabia,0,0,0,0,0.0%,11,11
2016 Summer,India,0,1,1,2,1.5%,130,128
2016 Summer,Ghana,0,0,0,0,0.0%,15,15
2016 Summer,Honduras,0,0,0,0,0.0%,23,23
2016 Summer,El Salvador,0,0,0,0,0.0%,10,10
2016 Summer,Venezuela,0,1,2,3,2.9%,105,102
2016 Summer,Argentina,21,1,0,22,9.5%,232,210
2016 Summer,Turkmenistan,0,0,0,0,0.0%,9,9
2016 Summer,Japan,17,13,34,64,14.7%,436,372
2016 Summer,Saint Kitts,0,0,0,0,0.0%,9,9
2016 Summer,UK,64,55,26,145,30.3%,478,333
2016 Summer,New Zealand,6,25,5,36,15.5%,232,196
2016 Summer,Turkey,1,3,4,8,6.7%,119,111
2016 Summer,Eritrea,0,0,0,0,0.0%,12,12
2016 Summer,Uganda,0,0,0,0,0.0%,23,23
2016 Summer,Mongolia,0,1,1,2,4.3%,46,44
2016 Summer,Lithuania,0,2,5,7,8.8%,80,73
2016 Summer,Namibia,0,0,0,0,0.0%,11,11
2016 Summer,Kyrgyzstan,0,0,0,0,0.0%,19,19
2016 Summer,Puerto Rico,1,0,0,1,2.4%,41,40
2016 Summer,Malaysia,0,7,1,8,19.0%,42,34
2016 Summer,Samoa,0,0,0,0,0.0%,9,9
2016 Summer,Angola,0,0,0,0,0.0%,26,26
2016 Summer,South Africa,2,7,14,23,14.8%,155,132
2016 Summer,Greece,3,1,3,7,6.7%,104,97
2016 Summer,Norway,0,0,19,19,24.7%,77,58
2016 Summer,Cuba,5,2,4,11,7.7%,143,132
2016 Summer,Paraguay,0,0,0,0,0.0%,11,11
2016 Summer,Indonesia,2,2,0,4,12.9%,31,27
2016 Summer,Bangladesh,0,0,0,0,0.0%,7,7
2016 Summer,Ivory Coast,1,0,1,2,13.3%,15,13
2016 Summer,Trinidad,0,0,1,1,2.3%,43,42
2016 Summer,China,46,30,37,113,22.6%,499,386
2016 Summer,Singapore,1,0,0,1,3.1%,32,31
2016 Summer,Morocco,0,0,1,1,1.9%,52,51
2016 Summer,Sweden,2,23,3,28,15.1%,186,158
2016 Summer,Ukraine,2,8,5,15,5.5%,272,257
2016 Summer,Tunisia,0,0,3,3,4.6%,65,62
2016 Summer,Individual Olympic Athletes,1,0,1,2,22.2%,9,7
2016 Summer,Oman,0,0,0,0,0.0%,4,4
2016 Summer,Qatar,0,1,0,1,2.4%,42,41
2016 Summer,United Arab Emirates,0,0,1,1,8.3%,12,11
2016 Summer,Moldova,0,0,0,0,0.0%,23,23
2016 Summer,Mauritius,0,0,0,0,0.0%,11,11
2016 Summer,Bulgaria,0,1,6,7,12.1%,58,51
2016 Summer,Serbia,14,27,13,54,42.5%,127,73
2016 Summer,Saint Vincent,0,0,0,0,0.0%,4,4
2016 Summer,Austria,0,0,2,2,2.4%,85,83
2016 Summer,Niger,0,1,0,1,16.7%,6,5
2016 Summer,Costa Rica,0,0,0,0,0.0%,12,12
2016 Summer,Sudan,0,0,0,0,0.0%,6,6
2016 Summer,Madagascar,0,0,0,0,0.0%,6,6
2016 Summer,Pakistan,0,0,0,0,0.0%,7,7
2016 Summer,Chad,0,0,0,0,0.0%,2,2
2016 Summer,Bosnia and Herzegovina,0,0,0,0,0.0%,11,11
2016 Summer,Philippines,0,1,0,1,7.7%,13,12
